ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH
3555 Keystone Ave #201,Los Angeles,90034,798000,2,2,1301,14962,1980,4,613,345
3615 Edenhurst Ave,Los Angeles,90039,1725000,2,2,1420,3567,1923,350,1215,0
3645 Cardiff Ave #211,Los Angeles,90034,910000,2,2,1137,30334,1993,18,800,441
370 Cliff Dr #3,Pasadena,91107,725000,2,2,1191,18341,1959,11,609,325
3710 W Imperial,Inglewood,90303,639999,2,1,1061,6127,1940,2,603,0
3810 Wilshire Blvd #2008,Los Angeles,90010,720000,2,2,910,64152,1962,1,791,650
385 S Oakland Ave #204,Pasadena,91101,750000,2,2,1209,52524,1963,1,620,409
3911 W 112th St,Inglewood,90303,700000,2,2,1301,5937,1959,4,538,0
3969 S Centinela Ave,Los Angeles,90066,1190000,2,2,1179,2251,1948,19,1009,0
400 W California Ave #106,Glendale,91203,685000,2,2,1198,28142,1998,5,572,285
405 N Palm Dr #304,Beverly Hills,90210,1450000,2,2.5,1856,15405,1983,4,781,1051
406 W Bencamp St,San Gabriel,91776,850000,2,2,987,5933,1929,14,861,0
409 Los Higos St,Alhambra,91801,836000,2,2,1040,3685,1955,85,804,0
4102 Raintree Cir,Culver City,90230,779000,2,2,1122,296873,1972,1,694,576
412 N Highland Ave,Los Angeles,90036,2395000,2,2.5,2809,10027,1948,1,853,0
4125 W 162nd St,Lawndale,90260,759995,2,1,885,5347,1934,4,859,0
4163 Center St,Culver City,90232,1950000,2,2,975,5501,1939,111,2000,0
4197 York Blvd,Eagle Rock,90065,988000,2,1.5,1035,7454,1926,48,955,0
42 E Harriet St,Altadena,91001,885000,2,1,1242,9281,1981,33,713,0
4201 Topanga Canyon Blvd,Woodland Hills,91364,174500,2,2,1248,0,1966,3,140,0
4202 Whitsett Ave #202,Studio City,91604,809000,2,2,1230,11974,2007,1,658,511
4252 Tosca Rd,Woodland Hills,91364,892500,2,1,1684,6875,1956,3,530,0
4268 Spencer St,Torrance,90503,975000,2,3,2188,190501,1989,7,446,400
428 S 1st St,Alhambra,91801,762000,2,1,682,7500,1924,82,1117,0
4298 Rosilyn Dr,Los Angeles,90063,780000,2,1.5,1380,4957,1939,2,565,0
433 N Altadena Dr #5,Pasadena,91107,754000,2,2,1290,38216,2005,164,584,385
4353 Colfax Ave #43,Studio City,91604,500000,2,1,881,90789,1961,3,568,427
441 S Wetherly Dr,Beverly Hills,90211,2787654,2,2,1252,5096,1926,28,2227,0
4465 Katherine Ave,Sherman Oaks,91423,1049000,2,1,1076,6749,1942,3,975,0
4515 Don Ricardo Dr Unit 2W,Los Angeles,90008,615000,2,1.5,948,15770,1961,2,649,264
4523 W 167th St,Lawndale,90260,803000,2,1.5,932,3954,1941,34,862,0
453 N Altadena Dr #9,Pasadena,91107,768888,2,2.5,1263,38211,2005,112,609,440
4603 W 17th St,Los Angeles,90019,825000,2,1,832,2645,1923,5,992,0
4709 Dunrobin Ave,Lakewood,90713,755777,2,1,1312,5040,1950,1,576,0
4844 York Blvd,Los Angeles,90042,1200000,2,1,1120,5194,1921,74,1071,0
497 E California Blvd #113,Pasadena,91106,699000,2,2,1154,75663,1980,16,606,475
5001 Stoney Creek Rd #455,Culver City,90230,669900,2,2,885,104280,1973,111,757,486
501 E Del Mar Blvd #104,Pasadena,91101,779000,2,2,1263,36778,1987,5,617,404
507 Sinaloa Ave,Pasadena,91106,520000,2,1,682,3185,1923,29,762,0
524 E Mission Rd,San Gabriel,91776,1050000,2,1.5,2369,5095,1924,12,443,0
5301 Balboa Unit B6,Encino,91316,599999,2,2,1385,0,1965,33,433,459
5301 Yarmouth Ave #4,Encino,91316,489000,2,2,1199,21801,1969,4,408,502
5389-1/2 Village Grn,Los Angeles,90016,750000,2,1,982,588770,1945,84,764,454
5400 Newcastle Ave #55,Encino,91316,459000,2,2,945,60947,1967,1,486,449
5402 W 149th Pl #17,Hawthorne,90250,949000,2,2,1331,62743,2007,12,713,293
5412 W Pico,Los Angeles,90019,1500000,2,2,1316,3218,1924,4,1140,0
5441 Twin Lakes Dr,Cypress,90630,599999,2,1.5,993,0,1979,1,604,435
5475 Twin Lakes Dr,Cypress,90630,553000,2,1,1156,0,1979,14,478,435
5610 Corbett St,Los Angeles,90016,459900,2,1,759,37289,1948,87,606,380
5644 Clemson St,Los Angeles,90016,469000,2,1,808,30523,1948,1,580,480
5772 Clemson St,Los Angeles,90016,475000,2,1,771,30840,1948,73,616,345
5829 Sultana,Temple City,91780,750000,2,1,956,4811,1941,529,785,0
5911 S Halm Ave,Los Angeles,90056,1349999,2,2,1780,8542,1956,3,758,0
5939 Fidler Ave,Lakewood,90712,655000,2,1,775,6252,1942,2,845,0
600 W 9th St #605,Los Angeles,90015,689000,2,2,1193,83379,1983,1,578,854
602 S Wilton Pl #202,Los Angeles,90005,730000,2,2,1539,15480,2002,1,474,410
609 Westminster Ave,Alhambra,91803,850000,2,1,1132,5195,1928,15,751,0
6103 Mount Angelus Dr,Los Angeles,90042,1049000,2,2,1064,3767,1922,3,986,0
"6123 Pennswood,",Lakewood,90712,699900,2,1,814,5458,1945,1,860,0
6144 E Wardlow Rd,Long Beach,90808,749000,2,1,860,5031,1950,14,871,0
6152 Poppy Peak Dr,Los Angeles,90042,740000,2,1,744,2005,1924,26,995,0
652 Pioneer Dr,Glendale,91203,749000,2,1,1077,6086,1924,4,695,0
6620 N Colbath Ave,Valley Glen,91405,985000,2,1,1126,7966,1946,2,875,0
693 Quail Dr,Los Angeles,90065,925000,2,1,898,4592,1951,12,1030,0
700 E union St #108,Pasadena,91101,829000,2,2,1296,26884,2006,7,640,704
701 Westminster Ave,Alhambra,91803,850000,2,1.5,1237,5195,1925,17,687,0
702 Rose Ave,Venice,90291,2850000,2,1,1140,7365,1924,2,2500,0
715 W 220 St #17,Torrance,90502,170000,2,2,0,0,1972,41,0,0
724 N Croft Ave #104,Los Angeles,90069,2283465,2,2.5,1933,0,2021,47,1181,877
724 N Croft Ave #110,Los Angeles,90069,2643953,2,2.5,2397,0,2020,47,1103,877
728 N Sweetzer Ave #116,Los Angeles,90069,2695000,2,3.5,2854,0,2021,38,944,926
7301 Vista Del Mar Ln Unit B-108,Playa Del Rey,90293,1915000,2,3,1861,64481,1981,3,1029,500
732 N Adams St,Glendale,91206,939000,2,1,1139,4228,1927,7,824,0
743 W 2nd St,San Pedro,90731,699900,2,1,780,3125,1923,4,897,0
7431 Paso Robles Ave,Lake Balboa,91406,750000,2,1,850,6699,1950,3,882,0
7432 Hazeltine Ave #8,Van Nuys,91405,485000,2,3,1131,11156,1981,1,429,250
750 Prospect Dr,Glendale,91205,998000,2,1,1196,6689,1955,10,834,0
7650 Topanga Canyon Blvd #15,Canoga Park,91304,574999,2,2.5,1620,33058,1983,4,355,324
766 E Mendocino St,Altadena,91001,989000,2,1,1239,4836,1940,35,798,0
777 East Valley Blvd #116,Alhambra,91801,590000,2,2,1103,474194,1963,5,535,284
7960 Selma Ave #301,Los Angeles,90046,995000,2,2,1217,21549,1964,3,818,510
801 S Grand Ave #1204,Los Angeles,90017,935000,2,2,1640,58984,1985,3,570,1087
8052 Dorothy St,Rosemead,91770,497500,2,2,474,7878,1941,31,1050,0
823 N Orange Grove Blvd,Pasadena,91103,1700000,2,2,1228,12269,1923,153,1384,0
828 S Bedford St #203,Los Angeles,90035,939000,2,2,1591,9587,1981,39,590,550
8280 Fair Ave,Sun Valley,91352,639000,2,1,816,7629,1926,2,783,0
849 E Ladera St,Pasadena,91104,899000,2,2,1148,4986,1936,4,783,0
85 E Commonwealth Ave Ph -D,Alhambra,91801,725000,2,2,1350,29580,2006,16,537,364
8522 Walnut Dr,Los Angeles,90046,899000,2,1,864,2999,1958,3,1041,0
8646 W Olympic Blvd #201,Los Angeles,90035,849000,2,3,1308,6998,1990,4,649,480
900 W Olympic Blvd Unit 47F,Los Angeles,90015,2249000,2,3,2200,399281,2010,1,1022,3198
9021 Kimberly Ln,Cypress,90630,689000,2,2,999,1000,2017,5,690,174
9080 Bloomfield Ave #147,Cypress,90630,159000,2,2,1484,0,2001,37,107,0
910 S Holt Ave #203,Los Angeles,90035,799000,2,1.5,1287,12015,1970,76,621,240
9135 Hargis St,Los Angeles,90034,1675000,2,2,1172,4989,1928,4,1429,0
920 Granite Dr #111,Pasadena,91101,1398000,2,2,2100,82770,2009,49,666,1445
9204 Rowell Ave,Chatsworth,91311,850000,2,1,888,18000,1954,3,957,0
9430 Haskell Ave,North Hills,91343,2450000,2,1,866,39597,1951,1,2829,0
946 W 220th St. #103,Torrance,90502,509000,2,1.5,1135,77733,1981,5,448,331
9530 Alondra #5,Bellflower,90706,135000,2,2,1152,0,1972,3,117,0
9745 Maple St,Bellflower,90706,950000,2,0,2720,4315,1937,28,349,0
9910 Wheatland Ave,Shadow Hills,91040,799999,2,1,1028,23433,1953,2,778,0
999 E Valley Blvd #140,Alhambra,91801,619000,2,2,1052,464846,1966,18,588,361
0,Los Angeles,90067,4099000,2,2.5,2250,161382,2010,62,1822,5858
1 W Century Dr Unit 32B,Los Angeles,90067,8000000,3,4.5,3430,161382,2010,3,2332,3870
1 W Century Dr Unit 34B,Los Angeles,90067,9995000,3,5,3430,161382,2010,7,2914,3870
10042 Chapin Way,Sunland,91040,1199000,3,3,2490,7936,1958,3,482,0
1005 Blossom Ln,Redondo Beach,90278,1299000,3,2.5,1504,7504,1979,5,864,50
1017 King Ave,Wilmington,90744,699000,3,2,1008,6266,1929,3,693,0
1031 Wapello St,Altadena,91001,1399000,3,2,1445,7126,1925,10,968,0
1035 Felder St,Gardena,90248,799500,3,2,1364,5156,1957,5,586,0
1035 Figueroa Ter #5,Los Angeles,90012,1145000,3,2.5,1800,71134,2018,2,636,392
10428 Barnwall St,Bellflower,90706,699999,3,2,1469,5528,1954,2,477,0
10435 Nichols St,Bellflower,90706,817000,3,2,1559,5905,1953,76,524,0
1046 Morada Pl,Altadena,91001,1248000,3,2.5,1745,7438,1911,6,715,0
10517 Mars Ln,Los Angeles,90077,2990000,3,3.5,1984,19507,1951,3,1507,0
10580 Wilshire Blvd Unit 7SW,Los Angeles,90024,3350000,3,3.5,2934,0,0,31,1142,3979
10661 W Wilkins Ave #6,Los Angeles,90024,1399000,3,3,2490,6500,1978,6,562,813
10724 Wilshire Blvd #902,Los Angeles,90024,2495000,3,3.5,2826,50476,1989,3,883,2460
10725 Ohio Ave #304,Los Angeles,90024,899000,3,2,1415,12464,1966,115,635,555
10772 Westminster Ave,Los Angeles,90034,1588000,3,3,2002,5200,1947,11,793,0
10848 Chimineas Ave,Porter Ranch,91326,850000,3,2,1530,12409,1957,1,556,0
110 N Gardner St,Los Angeles,90036,1695000,3,2,1666,5978,1926,9,1017,0
11120 Queensland St Unit H60,Los Angeles,90034,675000,3,2,1261,177228,1961,49,535,625
11160 S Grevillea Ave,Inglewood,90304,649999,3,1,1168,5529,1930,6,557,0
11215 Candor St,Cerritos,90703,839900,3,2,1609,4938,1968,48,522,0
11221 Stillman St,Lakewood,90715,839900,3,2,1520,5002,1964,3,553,0
11233 Barnwall St Unit D,Norwalk,90650,550000,3,2.5,1184,29713,1990,5,465,275
113 S Dianthus St,Manhattan Beach,90266,5600000,3,1,1194,6260,1952,96,4690,0
11311 Stanford St,Los Angeles,90059,450000,3,2,1144,5361,1937,3,393,0
1135 N Ditman Ave,Los Angeles,90063,839000,3,2,1213,5917,1927,3,692,0
11417 Culver Blvd #4,Los Angeles,90066,949999,3,3,1719,5123,1990,24,553,600
1142 21st St,Manhattan Beach,90266,2499000,3,2,1760,4992,1948,6,1420,0
11440 National Blvd #7,Los Angeles,90064,1388000,3,2.5,1813,24317,2007,65,766,400
11463 Excelsior Dr,Norwalk,90650,639900,3,3,1513,95078,1993,4,423,200
11524 Nava St,Norwalk,90650,793000,3,2,1568,5508,1949,18,506,0
11548 College Dr,Norwalk,90650,739999,3,2,1112,5184,1951,65,665,0
1161 Stearns Dr,Los Angeles,90035,1299000,3,1,1747,6011,1925,1,744,0
11619 Tarron Ave,Hawthorne,90250,649900,3,2,1267,5402,1954,3,513,0
11706 Darlington Ave Ph 402,Los Angeles,90049,1365000,3,2.5,1653,7375,1997,2,826,650
11708 Chanera Ave,Hawthorne,90250,795000,3,2,1298,5649,1954,31,612,0
1175 N Mentor Ave,Pasadena,91104,999000,3,2,1143,9614,1905,1,874,0
11866 167th St,Artesia,90701,600000,3,1.5,1249,2785,1986,122,480,0
11866 169th St,Artesia,90701,625000,3,2,1534,3018,1985,2,407,0
11871 162nd St,Norwalk,90650,659000,3,2,1524,4063,1959,119,432,0
11912 Laurelwood Dr #103,Studio City,91604,1025000,3,2.5,1560,9773,2015,47,657,560
11924 Tennessee Pl,Los Angeles,90064,1499000,3,2,1235,5498,1939,7,1214,0
11930 Woodbine St,Los Angeles,90066,1795000,3,2,1116,5919,1946,18,1608,0
11934 Salem Dr,Granada Hills,91344,1100000,3,2,1961,11315,1958,2,561,0
12045 186th St,Artesia,90701,734990,3,2,1620,4926,1966,3,454,0
1207 Oakridge Dr,Glendale,91205,1100000,3,2,1800,6038,1924,25,611,0
1208 Kornblum Ave,Torrance,90503,1200000,3,2,1652,5672,1951,19,726,0
1220 Roxbury Dr #302,Los Angeles,90035,2129000,3,3.5,3346,11670,1980,6,636,1180
1221 Valle Ct,Torrance,90502,850000,3,3,1822,22936,2005,1,467,130
12251 Shady Hollow Ln,Porter Ranch,91326,895000,3,3,1929,5999,1987,2,464,420
12287 Sunset Park Way,Los Angeles,90064,2290000,3,3,2465,6389,1978,10,929,0
12331 Sproul St,Norwalk,90650,725000,3,1,1368,5566,1949,4,530,0
12336 223rd St,Hawaiian Gardens,90716,798000,3,2,1456,5302,1938,5,548,0
125 S Rexford Dr #201,Beverly Hills,90212,1899000,3,3,2027,11883,1997,7,937,795
12502 Felton Ave,Hawthorne,90250,915000,3,1,1476,5201,1944,11,620,0
12523 Matteson Ave,Los Angeles,90066,1895000,3,2,1324,5689,1948,14,1431,0
1259 W 213th St,Torrance,90502,710000,3,2,1295,5228,1959,7,548,0
1260 E Radbard St,Carson,90746,653000,3,2,1437,3216,1966,126,454,0
1261 W 140th St W,Gardena,90247,819000,3,2,1464,5249,1959,9,559,0
12648 South St,Cerritos,90703,850000,3,2,1060,6105,1928,54,802,0
12735 Venice Blvd,Los Angeles,90066,1465000,3,4,1686,2600,1952,3,869,0
12864 Correnti St,Pacoima,91331,499900,3,2,1506,6869,1956,3,332,0
1300 Carmona Ave,Los Angeles,90019,2199000,3,2.5,2315,4552,1930,6,950,0
1300 W 77th St,Los Angeles,90044,675000,3,2,1156,5276,1920,1,584,0
13008 Brazil St,Cerritos,90703,1058888,3,2,2003,5044,1972,4,529,0
13008 Casimir Ave,Gardena,90249,755000,3,2,1733,5300,1955,3,436,0
13031 Dronfield Ave,Sylmar,91342,799999,3,3,1485,6282,1956,4,539,0
1310 N Marengo Ave,Pasadena,91103,885000,3,3,1615,5183,1959,4,548,0
1315 S Euclid Ave,Pasadena,91106,1750000,3,2,2151,9594,1939,11,814,0
1317 Cordary Ave,Torrance,90503,1050000,3,2,1381,6480,1951,5,760,0
132 N Swall Dr #203,Los Angeles,90048,2380000,3,4,1790,11660,2017,41,1330,528
13232 Kismet Ave,Sylmar,91342,699500,3,2,1093,8501,1957,2,640,0
1324 El Prado Ave #31,Torrance,90501,1000000,3,2.5,1392,25458,1997,93,718,315
13334 Osborne St,Arleta,91331,895000,3,1,1141,15332,1950,5,784,0
13336 Semora Pl,Cerritos,90703,869000,3,2,1461,5804,1968,1,595,0
1340 El Prado Ave #25,Torrance,90501,1000000,3,2.5,1392,25458,1997,93,718,315
1350 S Stanley Ave,Los Angeles,90019,1999000,3,3,1800,7954,1935,1,1111,0
13613 Bria Ln,Gardena,90247,787590,3,3,1640,0,2022,67,480,317
138 N Almont Dr,West Hollywood,90048,2495000,3,2,1700,5434,1924,24,1468,0
13851 Jefferson Ave,Hawthorne,90250,830000,3,2,1400,4420,1941,93,593,0
1400 Holmby Ave,Los Angeles,90024,2449000,3,2,2496,7646,1929,2,981,0
1413 Ocean Park Blvd #2,Santa Monica,90405,1295000,3,2.5,1408,6438,1979,17,920,598
1417 251st St,Harbor City,90710,895000,3,2,1431,7332,1952,3,625,0
1425 Hillcrest Ave,Pasadena,91106,5300000,3,5,5208,18394,1922,337,1018,0
14411 Pebblecreek Way,Gardena,90247,820000,3,3.5,1911,8701,2005,45,429,141
14518 Kingsdale Ave,Lawndale,90260,749000,3,2.5,1867,3009,1982,6,401,0
1456 W 187th St,Gardena,90248,639900,3,1,1346,6612,1950,11,475,0
1460 Rubio Dr,San Marino,91108,1998000,3,2,2162,9241,1925,4,924,0
14602 Funston Ave,Norwalk,90650,675000,3,1,1054,5245,1948,19,640,0
14602 Jersey Ave,Norwalk,90650,755000,3,2,1308,6659,1950,90,577,0
14808 Kingsdale Ave,Lawndale,90260,729000,3,2,1102,4300,1961,4,662,0
1501 Oak St,South Pasadena,91030,1680000,3,2,1378,8882,1922,10,1219,0
1514 Ensley Ave,Los Angeles,90024,2699000,3,3.5,2438,5071,1928,6,1107,0
1516 Cravens Ave #14,Torrance,90501,875000,3,2.5,1392,44989,1996,22,629,335
1523 E Elizabeth St,Pasadena,91104,895000,3,1.5,1320,8017,1922,1,678,0
15232 Van Ness Ave,Gardena,90249,789000,3,2,1250,5201,1950,20,631,0
1535 Bellford Ave,Pasadena,91104,1049000,3,2,1600,6099,1966,1,656,0
1535 Meadowbrook Rd,Altadena,91001,1998000,3,2.5,2646,11455,1960,8,755,0
15357 Manzana Ave,Paramount,90723,565000,3,1,1027,3164,1964,8,550,0
155 Cordova St #501,Pasadena,91105,4390000,3,4,3840,16350,2010,332,1143,1255
155 Harkness Ave #1,Pasadena,91106,1180000,3,3,1800,14527,2007,13,656,250
15509 S Stanford Ave,Compton,90220,607000,3,2,1422,5101,1965,11,427,0
15607 Florwood Ave,Lawndale,90260,715000,3,1,1063,5462,1952,5,673,0
15724 Covello St,Van Nuys,91406,885000,3,3,1986,8783,1941,3,446,0
158 S Sierra Madre Blvd #13,Pasadena,91107,1270000,3,2.5,1837,33119,2019,4,691,520
15825 La Salle Ave,Gardena,90247,800000,3,2,1325,6904,1955,5,604,0
16029 Evergreen Ln,Cerritos,90703,639900,3,2,1210,2399,1977,15,529,315
16049 Temecula St,Pacific Palisades,90272,2850000,3,2,1536,5748,1948,3,1855,0
1611 Steinhart Ave,Redondo Beach,90278,1400000,3,2,1153,4982,1952,7,1214,0
16136 Cornuta Ave #110,Bellflower,90706,475000,3,2,1336,61032,1981,58,356,300
1615 S Atlantic Blvd Unit A,Alhambra,91803,758000,3,3,1633,11057,2003,158,464,0
1630 Bridgeport Dr,Los Angeles,90065,1650000,3,3.5,2750,10288,2019,252,600,0
16320 Ballinger St,North Hills,91343,719000,3,2,1796,7535,1964,4,400,0
16325 Malden St,North Hills,91343,849000,3,2,1374,7253,1961,3,618,0
1640 Bedford Rd,San Marino,91108,3780000,3,4,2369,25775,1954,49,1596,0
16422 W Orchard Ave S,Gardena,90247,800000,3,1,914,7794,1954,11,875,0
1657 S Garth Ave,Los Angeles,90035,1600000,3,1.5,1601,3829,1940,27,999,0
1663 S Point View St,Los Angeles,90035,1899000,3,2,1454,8101,1928,1,1306,0
16923 Cedarwood Ct,Cerritos,90703,575000,3,1,867,10527,1972,22,663,340
1697 New York Dr,Altadena,91001,999000,3,2,1358,5489,1954,7,736,0
1702 Brockton Ave #4,Los Angeles,90025,968000,3,2.5,1559,6063,1981,1,621,250
17108 Oak View Dr,Encino,91316,2700000,3,2.5,2499,15524,1971,3,1080,0
17116 Michaels Ave,Cerritos,90703,925000,3,2,1484,7034,1977,18,623,0
17437 Stagg St,Northridge,91325,715000,3,2,1254,5993,1951,3,570,0
17457 Burma St,Encino,91316,1300000,3,2,1636,5610,1949,3,795,0
17623 Bromley St,Encino,91316,995000,3,3,1545,5547,1949,4,644,0
17700 Avalon Blvd #26,Carson,90746,260000,3,2,1440,0,1976,6,181,0
17701 Avalon Blvd #330,Carson,90746,210000,3,2,1440,0,1978,3,146,0
17730 Elkwood St,Reseda,91335,795000,3,2,1297,6451,1953,4,613,0
1778 N Oxford Ave,Pasadena,91104,945000,3,2,1166,5947,1947,10,810,0
18006 Hartland St,Reseda,91335,910000,3,2,1634,5936,1950,1,557,0
1807 11th St,Santa Monica,90404,1700000,3,4,2915,7477,1921,17,583,0
18180 Andrea Cir N #4,Northridge,91325,655000,3,2.5,1824,188991,1980,1,359,580
1819 W 182nd St #A,Torrance,90504,750000,3,2.5,1712,0,1985,3,438,0
1821-1/2 Veteran Ave,Los Angeles,90025,1595000,3,2.5,1555,6619,2021,27,1026,0
18235 Ambler Ave,Carson,90746,749000,3,2,1634,4981,1953,20,458,0
18333 Faysmith Ave,Torrance,90504,975000,3,2,1162,5284,1956,5,839,0
1836 Torrance Blvd,Torrance,90501,874900,3,3.5,1814,42788,2000,2,482,175
1836 W 154th Pl,Gardena,90249,739000,3,2,1160,5452,1953,5,637,0
1838 Westholme Ave #105,Los Angeles,90025,1295000,3,2.5,1653,14654,2004,4,783,450
1845 Pandora Ave,Los Angeles,90025,2485000,3,4,2310,6333,1940,72,1076,0
1854 W 150th St,Gardena,90249,888000,3,4,1505,5946,1944,4,590,0
18656 Calahan St,Northridge,91324,850000,3,2,1500,7567,1958,4,567,0
1869 Montiflora Ave,Eagle Rock,90041,1499000,3,2.5,1902,7351,1955,9,788,0
1872 N Marengo Ave,Pasadena,91103,975000,3,1,950,6723,1923,24,1026,0
188 S Sierra Madre Blvd #8,Pasadena,91107,1590000,3,4,2390,32623,2018,44,665,404
18824 Patronella Ave,Torrance,90504,870000,3,1.5,1183,5612,1954,5,735,0
1901 Barry Ave,Los Angeles,90025,1345000,3,2.5,1995,46948,1985,1,674,415
